,Model,location,energyscore,it
0,baseline,US,0.8127562273352802,0
1,baseline,US,0.8126907487861595,1
2,baseline,US,0.8126675430724096,2
3,baseline,US,0.8126890520133991,3
4,baseline,US,0.8128597239081108,4
5,baseline,US,0.8127663617147727,5
6,baseline,US,0.8127888189759817,6
7,baseline,US,0.8127433924830737,7
8,baseline,US,0.8128402409641949,8
9,baseline,US,0.8128528516488731,9
10,baseline,US,0.8126382728689358,10
11,baseline,US,0.8127921126589029,11
12,baseline,US,0.8126030521766584,12
13,baseline,US,0.8127941896691374,13
14,baseline,US,0.8127624127222329,14
15,baseline,US,0.8126694050907884,15
16,baseline,US,0.8126787344697062,16
17,baseline,US,0.812789211583828,17
18,baseline,US,0.8127330318900474,18
19,baseline,US,0.8126623997627264,19
20,baseline,US,0.8127226990952419,20
21,baseline,US,0.8126892852413308,21
22,baseline,US,0.8126232082189003,22
23,baseline,US,0.8128455275068517,23
24,baseline,US,0.8128690147665704,24
25,baseline,US,0.812778103752712,25
26,baseline,US,0.8128215659719588,26
27,baseline,US,0.8125340027276241,27
28,baseline,US,0.8127002242215425,28
29,baseline,US,0.8126162950290714,29
30,baseline,US,0.8126515939197266,30
31,baseline,US,0.8126909795879933,31
32,baseline,US,0.8126384003138971,32
33,baseline,US,0.8127746731804845,33
34,baseline,US,0.8126499326359297,34
35,baseline,US,0.8126157615054,35
36,baseline,US,0.8127135386918571,36
37,baseline,US,0.8127677974737098,37
38,baseline,US,0.8126836451261062,38
39,baseline,US,0.8127786083175995,39
40,baseline,US,0.8125880187141192,40
41,baseline,US,0.8126171880627034,41
42,baseline,US,0.8128468287640033,42
43,baseline,US,0.8128020695002413,43
44,baseline,US,0.812646083004956,44
45,baseline,US,0.8127142310712894,45
46,baseline,US,0.8126708038188604,46
47,baseline,US,0.8127447733671408,47
48,baseline,US,0.8127683458850341,48
49,baseline,US,0.8127176078029796,49
